snapped_at,price,market_cap,total_volume
2022-08-05 00:00:00 UTC,1.9184392154802923,410701776.36722666,521589108.30902547
2022-08-06 00:00:00 UTC,1.9280611030604669,414045208.30785197,455425340.3254673
2022-08-07 00:00:00 UTC,1.919091142222308,412802764.25414205,285280418.2312683
2022-08-08 00:00:00 UTC,1.912903098714543,410959670.3753754,190883107.3782773
2022-08-09 00:00:00 UTC,1.8985020094584837,407924935.4795138,269306371.66574484
2022-08-10 00:00:00 UTC,1.6303298198863683,349970171.77188605,301134517.6933721
2022-08-11 00:00:00 UTC,1.5600413915101283,334978937.6705847,404487226.4555814
2022-08-12 00:00:00 UTC,1.5652029052286247,336603642.7421796,335007045.8120994
2022-08-13 00:00:00 UTC,1.6422031436729736,349226003.36580557,247778557.85614598
2022-08-14 00:00:00 UTC,1.5382283153786687,330371817.76967156,121917455.00197962
